NIVEL1;NIVEL2;NIVEL3;CATEGORIA;VALOR
BC;Porto Nobre;Vara 6;Banco Aurora;9
CV;Pedra Fria;Vara 2;Banco Aurora;11
CV;Serra Nova;Vara 3;Banco Aurora;10
CV;Porto Nobre;Vara 4;Banco Aurora;19
CV;Porto Nobre;Vara 6;Banco Meridiano;21
SA;Porto Nobre;Vara 1;Banco Aurora;42
TB;Santa Elis;Vara 4;Crediluz;27
CV;Alto Rubro;Vara 3;Banco Aurora;17
PN;Porto Nobre;Vara 5;Banco Aurora;29
SA;Pedra Fria;Vara 1;Banco Aurora;17
SD;Porto Nobre;Vara 1;Norvel Crédito;10
LS;Serra Nova;Vara 6;Banco Solaris;9
CV;Porto Nobre;Vara 4;Banco Aurora;10
VN;Porto Nobre;Vara 1;Banco Meridiano;256
LS;Porto Nobre;Vara 5;Crediluz;18
PN;Lagoa Azul;Vara 5;Banco Meridiano;13
SA;Porto Nobre;Vara 4;Banco Meridiano;13
PN;Barra Limpa;Vara 4;Banco Aurora;13
LS;Santa Elis;Vara 6;Banco Vantis;9
MR;Porto Nobre;Vara 2;Banco Meridiano;60
SA;Serra Nova;Vara 6;Crediluz;22
LS;Monte Claro do Vale;Vara 5;Norvel Crédito;29
CV;Serra Nova;Vara 1;Banco Meridiano;300
LS;Porto Nobre;Vara 2;Banco Vantis;7
LS;Porto Nobre;Vara 6;Banco Vantis;9
LS;Porto Nobre;Vara 4;Crediluz;17
SD;Porto Nobre;Vara 2;Banco Aurora;12
TB;Porto Nobre;Vara 2;Banco Aurora;40
LS;Porto Nobre;Vara 3;Banco Aurora;22
CV;Porto Nobre;Vara 4;Crediluz;19
IL;Porto Nobre;Vara 1;Banco Vantis;15
VN;Vila Aurora;Vara 4;Banco Vantis;22
SA;Porto Nobre;Vara 1;Banco Meridiano;48
VN;Pedra Fria;Vara 6;Norvel Crédito;17
CV;Porto Nobre;Vara 1;Banco Meridiano;22
MR;Lagoa Azul;Vara 6;Banco Meridiano;53
CV;Santa Elis;Vara 3;Banco Solaris;299
TB;Cruzeiro Novo;Vara 1;Banco Meridiano;7
SA;Lagoa Azul;Vara 1;Banco Aurora;12
LS;Porto Nobre;Vara 1;Banco Solaris;9
LS;Porto Nobre;Vara 4;Banco Aurora;10
SA;Porto Nobre;Vara 2;Banco Meridiano;18
CV;Barra Limpa;Vara 6;Banco Aurora;17
SA;Santa Elis;Vara 1;Banco Meridiano;15
PN;Porto Nobre;Vara 1;Banco Meridiano;11
SD;Alto Rubro;Vara 5;Banco Vantis;9
VN;Porto Nobre;Vara 1;Banco Aurora;13
MR;Porto Nobre;Vara 6;Banco Aurora;37
SA;Porto Nobre;Vara 6;Banco Cordilheira;9
LS;Porto Nobre;Vara 4;Banco Vantis;7
PN;Porto Nobre;Vara 6;Crediluz;35
SA;Porto Nobre;Vara 3;Banco Vantis;31
BC;Porto Nobre;Vara 4;Banco Vantis;10
MR;Santa Elis;Vara 6;Banco Meridiano;73
SA;Porto Nobre;Vara 5;Banco Aurora;13
LS;Porto Nobre;Vara 2;Banco Meridiano;13
VN;Porto Nobre;Vara 2;Banco Meridiano;9
SA;Pedra Fria;Vara 5;Banco Meridiano;9
SA;Porto Nobre;Vara 6;Banco Meridiano;14
CV;Serra Nova;Vara 2;Norvel Crédito;21
LS;Porto Nobre;Vara 6;Crediluz;64
CV;Porto Nobre;Vara 5;Banco Solaris;8
VN;Porto Nobre;Vara 1;Banco Meridiano;45
LS;Porto Nobre;Vara 3;Banco Aurora;36
CV;Monte Claro do Vale;Vara 3;Crediluz;17
LS;Porto Nobre;Vara 5;Banco Meridiano;9
LS;Cruzeiro Novo;Vara 6;Banco Aurora;14
TB;Porto Nobre;Vara 2;Banco Solaris;11
SA;Porto Nobre;Vara 5;Banco Vantis;9
SA;Barra Limpa;Vara 1;Banco Aurora;13
BC;Lagoa Azul;Vara 6;Banco Meridiano;12
MR;Porto Nobre;Vara 5;Crediluz;137
SA;Porto Nobre;Vara 5;Banco Aurora;15
CV;Porto Nobre;Vara 6;Banco Aurora;21
LS;Serra Nova;Vara 3;Banco Meridiano;15
SA;Porto Nobre;Vara 5;Crediluz;15
CV;Porto Nobre;Vara 4;Banco Meridiano;19
PN;Porto Nobre;Vara 2;Banco Meridiano;14
SA;Porto Nobre;Vara 3;Banco Meridiano;18
CV;Porto Nobre;Vara 6;Crediluz;25
LS;Porto Nobre;Vara 3;Banco Aurora;14
SA;Porto Nobre;Vara 4;Banco Aurora;11
SA;Porto Nobre;Vara 4;Banco Aurora;11
VN;Vila Aurora;Vara 1;Banco Solaris;15
CV;Porto Nobre;Vara 6;Banco Meridiano;57
MR;Porto Nobre;Vara 4;Banco Aurora;27
SA;Vila Aurora;Vara 1;Banco Aurora;15
VN;Barra Limpa;Vara 3;Banco Meridiano;9
CV;Porto Nobre;Vara 2;Banco Aurora;12
VN;Santa Elis;Vara 5;Banco Aurora;6
SA;Porto Nobre;Vara 5;Banco Vantis;9
LS;Porto Nobre;Vara 4;Banco Meridiano;39
PN;Lagoa Azul;Vara 3;Banco Aurora;13
VN;Santa Elis;Vara 2;Banco Aurora;9
PN;Porto Nobre;Vara 2;Banco Aurora;19
TB;Porto Nobre;Vara 5;Banco Aurora;13
SA;Porto Nobre;Vara 6;Banco Meridiano;15
VN;Barra Limpa;Vara 1;Banco Solaris;13
VN;Lagoa Azul;Vara 1;Banco Meridiano;7
SD;Porto Nobre;Vara 2;Crediluz;17
VN;Serra Nova;Vara 1;Banco Solaris;14
SA;Porto Nobre;Vara 6;Banco Aurora;13
LS;Porto Nobre;Vara 4;Banco Meridiano;10
LS;Porto Nobre;Vara 1;Banco Meridiano;12
VN;Porto Nobre;Vara 5;Banco Vantis;26
MR;Barra Limpa;Vara 4;Banco Aurora;907
VN;Porto Nobre;Vara 2;Banco Meridiano;43
PN;Porto Nobre;Vara 5;Banco Aurora;16
SA;Porto Nobre;Vara 4;Crediluz;52
MR;Porto Nobre;Vara 2;Banco Meridiano;32
MR;Monte Claro do Vale;Vara 2;Banco Aurora;60
CV;Porto Nobre;Vara 3;Banco Vantis;15
SD;Pedra Fria;Vara 4;Banco Vantis;7
VN;Porto Nobre;Vara 3;Banco Aurora;8
SA;Porto Nobre;Vara 3;Banco Meridiano;14
LS;Porto Nobre;Vara 3;Banco Aurora;8
SA;Cruzeiro Novo;Vara 5;Banco Vantis;36
SA;Porto Nobre;Vara 5;Banco Aurora;34
PN;Porto Nobre;Vara 2;Banco Vantis;11
CV;Porto Nobre;Vara 6;Banco Vantis;11
BC;Porto Nobre;Vara 5;Banco Vantis;8
LS;Alto Rubro;Vara 6;Banco Aurora;9
LS;Porto Nobre;Vara 1;Banco Meridiano;6
LS;Porto Nobre;Vara 6;Banco Solaris;9
CV;Porto Nobre;Vara 1;Banco Aurora;17
LS;Porto Nobre;Vara 5;Banco Solaris;23
CV;Alto Rubro;Vara 4;Banco Aurora;13
CV;Porto Nobre;Vara 5;Crediluz;34
MR;Santa Elis;Vara 6;Crediluz;114
VN;Porto Nobre;Vara 4;Banco Solaris;9
VN;Porto Nobre;Vara 5;Crediluz;56
PN;Santa Elis;Vara 3;Banco Meridiano;109
MR;Porto Nobre;Vara 5;Banco Meridiano;106
BC;Santa Elis;Vara 1;Banco Meridiano;7
SA;Cruzeiro Novo;Vara 5;Banco Meridiano;17
SA;Porto Nobre;Vara 1;Crediluz;24
PN;Porto Nobre;Vara 3;Banco Aurora;32
VN;Porto Nobre;Vara 4;Banco Aurora;7
VN;Porto Nobre;Vara 6;Banco Cordilheira;9
LS;Porto Nobre;Vara 1;Banco Cordilheira;8
VN;Porto Nobre;Vara 2;Banco Aurora;9
CV;Porto Nobre;Vara 2;Banco Vantis;14
SA;Porto Nobre;Vara 1;Banco Meridiano;15
IL;Porto Nobre;Vara 4;Banco Meridiano;18
SA;Porto Nobre;Vara 5;Banco Aurora;15
CV;Porto Nobre;Vara 2;Banco Meridiano;17
LS;Monte Claro do Vale;Vara 5;Banco Meridiano;7
CV;Porto Nobre;Vara 6;Banco Cordilheira;15
VN;Porto Nobre;Vara 6;Banco Vantis;15
VN;Porto Nobre;Vara 4;Banco Solaris;6
CV;Porto Nobre;Vara 1;Crediluz;112
PN;Monte Claro do Vale;Vara 5;Crediluz;29
TB;Porto Nobre;Vara 2;Norvel Crédito;12
TB;Porto Nobre;Vara 6;Banco Aurora;10
CV;Porto Nobre;Vara 1;Banco Solaris;17
TB;Porto Nobre;Vara 6;Banco Aurora;9
LS;Porto Nobre;Vara 3;Banco Aurora;11
MR;Porto Nobre;Vara 3;Crediluz;118
SD;Porto Nobre;Vara 6;Crediluz;62
VN;Porto Nobre;Vara 1;Banco Aurora;11
CV;Alto Rubro;Vara 3;Banco Aurora;19
VN;Porto Nobre;Vara 3;Banco Meridiano;208
SA;Porto Nobre;Vara 2;Banco Aurora;14
BC;Barra Limpa;Vara 5;Crediluz;19
LS;Porto Nobre;Vara 4;Banco Aurora;9
IL;Porto Nobre;Vara 2;Crediluz;75
TB;Porto Nobre;Vara 6;Crediluz;23
BC;Santa Elis;Vara 3;Banco Aurora;13
SA;Porto Nobre;Vara 6;Banco Meridiano;7
CV;Porto Nobre;Vara 3;Banco Solaris;17
CV;Porto Nobre;Vara 5;Banco Cordilheira;17
SA;Barra Limpa;Vara 6;Crediluz;30
VN;Porto Nobre;Vara 1;Banco Vantis;12
SA;Santa Elis;Vara 4;Banco Meridiano;9
VN;Porto Nobre;Vara 4;Crediluz;23
CV;Santa Elis;Vara 3;Banco Aurora;29
CV;Porto Nobre;Vara 6;Banco Aurora;17
SA;Porto Nobre;Vara 6;Crediluz;28
PN;Barra Limpa;Vara 5;Banco Meridiano;12
VN;Porto Nobre;Vara 1;Crediluz;24
IL;Porto Nobre;Vara 5;Banco Vantis;11
CV;Porto Nobre;Vara 6;Norvel Crédito;11
SA;Porto Nobre;Vara 6;Crediluz;28
SA;Lagoa Azul;Vara 5;Banco Aurora;43
IL;Porto Nobre;Vara 5;Banco Aurora;16
VN;Lagoa Azul;Vara 3;Banco Aurora;12
PN;Serra Nova;Vara 4;Banco Vantis;7
VN;Cruzeiro Novo;Vara 6;Norvel Crédito;8
CV;Porto Nobre;Vara 1;Banco Aurora;17
VN;Pedra Fria;Vara 3;Banco Aurora;12
SA;Porto Nobre;Vara 5;Banco Aurora;10
LS;Pedra Fria;Vara 1;Crediluz;29
MR;Porto Nobre;Vara 3;Banco Meridiano;184
MR;Porto Nobre;Vara 3;Banco Aurora;41
SA;Cruzeiro Novo;Vara 5;Banco Aurora;11
SA;Porto Nobre;Vara 6;Banco Meridiano;10
SA;Porto Nobre;Vara 5;Banco Solaris;7
PN;Alto Rubro;Vara 1;Banco Vantis;12
PN;Porto Nobre;Vara 6;Banco Vantis;14
IL;Vila Aurora;Vara 5;Banco Meridiano;17
SA;Porto Nobre;Vara 5;Crediluz;26
SA;Porto Nobre;Vara 2;Crediluz;34
SA;Porto Nobre;Vara 5;Fin Âmbar;19
PN;Porto Nobre;Vara 1;Banco Solaris;17
CV;Porto Nobre;Vara 4;Banco Meridiano;9
SA;Porto Nobre;Vara 5;Banco Meridiano;38
LS;Porto Nobre;Vara 3;Banco Solaris;7
CV;Porto Nobre;Vara 1;Banco Meridiano;13
SA;Porto Nobre;Vara 5;Banco Vantis;9
SA;Porto Nobre;Vara 5;Banco Vantis;13
SA;Santa Elis;Vara 1;Banco Meridiano;14
MR;Porto Nobre;Vara 6;Norvel Crédito;42
SA;Porto Nobre;Vara 5;Banco Vantis;12
CV;Porto Nobre;Vara 1;Banco Aurora;15
MR;Porto Nobre;Vara 1;Banco Meridiano;72
VN;Serra Nova;Vara 5;Banco Meridiano;16
SA;Porto Nobre;Vara 5;Banco Meridiano;12
MR;Porto Nobre;Vara 5;Banco Aurora;65
SA;Porto Nobre;Vara 3;Banco Vantis;8
SD;Porto Nobre;Vara 3;Banco Aurora;6
BC;Porto Nobre;Vara 3;Banco Meridiano;14
SA;Porto Nobre;Vara 1;Banco Aurora;32
BC;Lagoa Azul;Vara 5;Banco Meridiano;6
CV;Santa Elis;Vara 5;Banco Solaris;16
LS;Alto Rubro;Vara 3;Banco Vantis;9
VN;Porto Nobre;Vara 5;Norvel Crédito;10
CV;Porto Nobre;Vara 3;Banco Cordilheira;12
IL;Porto Nobre;Vara 3;Banco Aurora;13
CV;Vila Aurora;Vara 1;Norvel Crédito;16
SA;Porto Nobre;Vara 2;Banco Meridiano;13
SA;Barra Limpa;Vara 5;Banco Aurora;8
VN;Barra Limpa;Vara 4;Banco Meridiano;14
PN;Porto Nobre;Vara 3;Banco Meridiano;17
CV;Porto Nobre;Vara 2;Banco Vantis;15
LS;Porto Nobre;Vara 3;Banco Meridiano;9
MR;Vila Aurora;Vara 2;Banco Meridiano;39
LS;Pedra Fria;Vara 3;Banco Vantis;5
SA;Alto Rubro;Vara 5;Banco Aurora;30
CV;Porto Nobre;Vara 5;Banco Solaris;9
SA;Lagoa Azul;Vara 4;Banco Vantis;8
LS;Porto Nobre;Vara 2;Banco Aurora;9
SA;Vila Aurora;Vara 5;Banco Aurora;26
LS;Porto Nobre;Vara 2;Banco Cordilheira;6
VN;Barra Limpa;Vara 5;Banco Aurora;10
SA;Porto Nobre;Vara 4;Crediluz;30
IL;Porto Nobre;Vara 1;Banco Aurora;20
CV;Porto Nobre;Vara 6;Banco Vantis;39
SA;Porto Nobre;Vara 6;Crediluz;31
TB;Barra Limpa;Vara 1;Banco Aurora;16
CV;Vila Aurora;Vara 1;Crediluz;79
SA;Porto Nobre;Vara 5;Banco Aurora;30
PN;Porto Nobre;Vara 4;Banco Aurora;18
SA;Alto Rubro;Vara 2;Crediluz;95
LS;Monte Claro do Vale;Vara 1;Banco Vantis;6
PN;Lagoa Azul;Vara 4;Banco Vantis;13
SA;Porto Nobre;Vara 2;Crediluz;27
VN;Porto Nobre;Vara 6;Norvel Crédito;15
MR;Lagoa Azul;Vara 5;Banco Aurora;99
IL;Cruzeiro Novo;Vara 2;Banco Meridiano;11
PN;Monte Claro do Vale;Vara 2;Banco Meridiano;15
VN;Porto Nobre;Vara 5;Banco Vantis;58
IL;Lagoa Azul;Vara 1;Banco Cordilheira;12
VN;Barra Limpa;Vara 2;Banco Meridiano;11
SA;Pedra Fria;Vara 5;Banco Meridiano;12
TB;Barra Limpa;Vara 6;Crediluz;257
MR;Vila Aurora;Vara 3;Banco Meridiano;41
LS;Porto Nobre;Vara 3;Banco Aurora;23
BC;Lagoa Azul;Vara 1;Banco Solaris;144
LS;Serra Nova;Vara 5;Banco Meridiano;12
LS;Porto Nobre;Vara 3;Norvel Crédito;22
LS;Porto Nobre;Vara 4;Banco Meridiano;15
LS;Monte Claro do Vale;Vara 6;Banco Meridiano;6
VN;Porto Nobre;Vara 1;Banco Aurora;7
CV;Porto Nobre;Vara 2;Banco Solaris;13
LS;Porto Nobre;Vara 5;Banco Vantis;5
LS;Porto Nobre;Vara 4;Banco Vantis;107
LS;Porto Nobre;Vara 6;Banco Aurora;7
TB;Porto Nobre;Vara 4;Banco Meridiano;15
MR;Porto Nobre;Vara 6;Crediluz;351
SA;Porto Nobre;Vara 3;Banco Solaris;39
LS;Monte Claro do Vale;Vara 5;Banco Aurora;9
LS;Porto Nobre;Vara 1;Banco Meridiano;42
SD;Porto Nobre;Vara 1;Banco Aurora;13
LS;Porto Nobre;Vara 2;Banco Aurora;11
CV;Porto Nobre;Vara 4;Banco Meridiano;45
CV;Porto Nobre;Vara 3;Banco Meridiano;16
CV;Alto Rubro;Vara 3;Norvel Crédito;9
TB;Porto Nobre;Vara 6;Crediluz;27
CV;Lagoa Azul;Vara 2;Banco Vantis;11
CV;Vila Aurora;Vara 5;Banco Aurora;17
LS;Porto Nobre;Vara 3;Banco Vantis;10
MR;Porto Nobre;Vara 5;Banco Meridiano;170
VN;Porto Nobre;Vara 4;Norvel Crédito;10
BC;Porto Nobre;Vara 4;Norvel Crédito;13
SA;Lagoa Azul;Vara 3;Crediluz;32
CV;Porto Nobre;Vara 1;Banco Aurora;16
SA;Vila Aurora;Vara 2;Banco Solaris;12
PN;Vila Aurora;Vara 4;Banco Meridiano;16
MR;Cruzeiro Novo;Vara 5;Crediluz;75
MR;Porto Nobre;Vara 4;Crediluz;61
LS;Porto Nobre;Vara 1;Crediluz;14
SA;Porto Nobre;Vara 6;Banco Meridiano;14
MR;Porto Nobre;Vara 2;Banco Aurora;46
VN;Porto Nobre;Vara 4;Norvel Crédito;10
SA;Porto Nobre;Vara 1;Banco Vantis;12
VN;Cruzeiro Novo;Vara 1;Norvel Crédito;11
TB;Monte Claro do Vale;Vara 3;Crediluz;25
SA;Porto Nobre;Vara 1;Banco Aurora;16
PN;Porto Nobre;Vara 4;Banco Meridiano;16
CV;Porto Nobre;Vara 1;Banco Meridiano;17
SA;Vila Aurora;Vara 5;Crediluz;16
CV;Porto Nobre;Vara 3;Banco Aurora;17
BC;Porto Nobre;Vara 5;Banco Meridiano;12
BC;Porto Nobre;Vara 2;Banco Aurora;11
IL;Porto Nobre;Vara 1;Crediluz;122
IL;Porto Nobre;Vara 6;Banco Aurora;18
SA;Porto Nobre;Vara 3;Banco Aurora;13
CV;Porto Nobre;Vara 5;Crediluz;34
VN;Porto Nobre;Vara 4;Banco Meridiano;33
VN;Lagoa Azul;Vara 4;Banco Aurora;9
PN;Porto Nobre;Vara 6;Norvel Crédito;18
VN;Santa Elis;Vara 1;Banco Meridiano;13
TB;Cruzeiro Novo;Vara 6;Banco Vantis;13
CV;Porto Nobre;Vara 4;Banco Solaris;10
MR;Porto Nobre;Vara 6;Banco Aurora;64
VN;Porto Nobre;Vara 3;Norvel Crédito;17
VN;Porto Nobre;Vara 2;Banco Meridiano;16
MR;Cruzeiro Novo;Vara 4;Crediluz;126
TB;Porto Nobre;Vara 1;Crediluz;16
TB;Porto Nobre;Vara 6;Banco Aurora;15
PN;Porto Nobre;Vara 2;Banco Aurora;11
SA;Serra Nova;Vara 5;Banco Vantis;5
PN;Pedra Fria;Vara 2;Banco Vantis;13
SA;Santa Elis;Vara 6;Banco Aurora;16
PN;Porto Nobre;Vara 4;Banco Aurora;14
SA;Monte Claro do Vale;Vara 3;Banco Meridiano;18
BC;Cruzeiro Novo;Vara 4;Banco Aurora;5
CV;Porto Nobre;Vara 6;Banco Solaris;10
LS;Porto Nobre;Vara 5;Banco Meridiano;6
CV;Porto Nobre;Vara 1;Banco Meridiano;17
SA;Porto Nobre;Vara 6;Crediluz;34
SD;Porto Nobre;Vara 4;Banco Aurora;11
MR;Santa Elis;Vara 3;Banco Solaris;169
VN;Porto Nobre;Vara 5;Banco Meridiano;14
VN;Serra Nova;Vara 6;Norvel Crédito;7
PN;Porto Nobre;Vara 6;Banco Vantis;27
TB;Vila Aurora;Vara 6;Banco Aurora;12
CV;Barra Limpa;Vara 4;Banco Meridiano;10
PN;Porto Nobre;Vara 2;Crediluz;32
SA;Porto Nobre;Vara 1;Banco Cordilheira;221
SA;Vila Aurora;Vara 5;Banco Vantis;9
SA;Cruzeiro Novo;Vara 4;Banco Vantis;9
TB;Porto Nobre;Vara 4;Banco Aurora;32
SA;Porto Nobre;Vara 6;Banco Meridiano;18
BC;Porto Nobre;Vara 6;Banco Vantis;6
SA;Porto Nobre;Vara 2;Banco Vantis;9
MR;Porto Nobre;Vara 3;Banco Meridiano;32
TB;Porto Nobre;Vara 6;Banco Meridiano;17
BC;Pedra Fria;Vara 4;Banco Aurora;5
SA;Cruzeiro Novo;Vara 3;Banco Meridiano;19
SA;Vila Aurora;Vara 3;Banco Meridiano;15
PN;Porto Nobre;Vara 1;Banco Aurora;8
MR;Porto Nobre;Vara 6;Banco Meridiano;57
VN;Porto Nobre;Vara 2;Banco Meridiano;15
IL;Serra Nova;Vara 2;Banco Meridiano;9
BC;Porto Nobre;Vara 4;Banco Vantis;27
MR;Pedra Fria;Vara 5;Banco Vantis;32
LS;Porto Nobre;Vara 3;Banco Meridiano;14
VN;Porto Nobre;Vara 3;Banco Meridiano;24
LS;Porto Nobre;Vara 1;Banco Aurora;23
SA;Porto Nobre;Vara 2;Banco Aurora;16
SA;Santa Elis;Vara 1;Banco Aurora;13
TB;Porto Nobre;Vara 2;Banco Vantis;6
SA;Porto Nobre;Vara 2;Banco Aurora;15
PN;Porto Nobre;Vara 6;Norvel Crédito;16
VN;Lagoa Azul;Vara 5;Banco Vantis;15
PN;Monte Claro do Vale;Vara 2;Banco Aurora;14
SA;Porto Nobre;Vara 4;Banco Meridiano;14
MR;Porto Nobre;Vara 4;Crediluz;1986
SA;Porto Nobre;Vara 3;Banco Aurora;10
CV;Porto Nobre;Vara 3;Crediluz;30
VN;Porto Nobre;Vara 6;Banco Meridiano;14
VN;Barra Limpa;Vara 4;Banco Meridiano;9
MR;Porto Nobre;Vara 3;Banco Aurora;70
SD;Porto Nobre;Vara 1;Crediluz;33
SA;Vila Aurora;Vara 3;Banco Solaris;10
LS;Porto Nobre;Vara 4;Banco Aurora;9
SA;Pedra Fria;Vara 3;Banco Aurora;17
SD;Porto Nobre;Vara 4;Crediluz;33
VN;Porto Nobre;Vara 5;Banco Vantis;32
VN;Porto Nobre;Vara 3;Banco Vantis;13
VN;Porto Nobre;Vara 2;Banco Aurora;31
LS;Porto Nobre;Vara 2;Banco Aurora;14
VN;Porto Nobre;Vara 4;Banco Aurora;24
SA;Monte Claro do Vale;Vara 4;Banco Meridiano;17
SA;Serra Nova;Vara 5;Banco Aurora;17
PN;Porto Nobre;Vara 5;Banco Aurora;13
CV;Porto Nobre;Vara 3;Banco Aurora;16
VN;Monte Claro do Vale;Vara 6;Banco Vantis;31
LS;Pedra Fria;Vara 5;Banco Vantis;4
TB;Pedra Fria;Vara 1;Banco Vantis;12
SA;Alto Rubro;Vara 1;Banco Meridiano;52
PN;Porto Nobre;Vara 6;Banco Aurora;19
VN;Porto Nobre;Vara 2;Banco Meridiano;35
SA;Serra Nova;Vara 1;Banco Solaris;11
MR;Monte Claro do Vale;Vara 2;Banco Meridiano;148
VN;Pedra Fria;Vara 5;Banco Meridiano;28
CV;Porto Nobre;Vara 4;Banco Aurora;54
TB;Serra Nova;Vara 3;Banco Vantis;13
LS;Alto Rubro;Vara 3;Banco Meridiano;25
CV;Barra Limpa;Vara 3;Banco Meridiano;22
LS;Porto Nobre;Vara 5;Banco Vantis;5
MR;Alto Rubro;Vara 5;Banco Meridiano;167
MR;Porto Nobre;Vara 6;Banco Vantis;143
SA;Porto Nobre;Vara 3;Crediluz;25
VN;Porto Nobre;Vara 1;Norvel Crédito;7
BC;Porto Nobre;Vara 1;Banco Aurora;6
SA;Porto Nobre;Vara 3;Banco Meridiano;17
CV;Porto Nobre;Vara 4;Banco Solaris;19
CV;Porto Nobre;Vara 2;Crediluz;87
TB;Pedra Fria;Vara 3;Banco Aurora;17
PN;Serra Nova;Vara 5;Banco Vantis;7
LS;Pedra Fria;Vara 1;Banco Vantis;8
TB;Porto Nobre;Vara 5;Banco Meridiano;76
VN;Porto Nobre;Vara 2;Banco Aurora;12
SA;Porto Nobre;Vara 6;Banco Meridiano;10
IL;Porto Nobre;Vara 6;Banco Meridiano;52
TB;Porto Nobre;Vara 5;Banco Vantis;31
BC;Porto Nobre;Vara 4;Banco Aurora;9
IL;Porto Nobre;Vara 6;Banco Meridiano;15
CV;Porto Nobre;Vara 1;Banco Solaris;15
TB;Porto Nobre;Vara 4;Banco Solaris;38
VN;Vila Aurora;Vara 4;Banco Aurora;239
VN;Pedra Fria;Vara 5;Banco Aurora;15
SA;Porto Nobre;Vara 3;Banco Vantis;9
BC;Cruzeiro Novo;Vara 1;Banco Aurora;13
VN;Vila Aurora;Vara 2;Banco Solaris;6
PN;Vila Aurora;Vara 2;Banco Solaris;16
TB;Porto Nobre;Vara 3;Banco Vantis;34
LS;Pedra Fria;Vara 3;Banco Meridiano;13
VN;Porto Nobre;Vara 1;Banco Meridiano;7
SA;Vila Aurora;Vara 2;Banco Meridiano;10
LS;Porto Nobre;Vara 4;Banco Solaris;13
LS;Porto Nobre;Vara 6;Crediluz;491
VN;Lagoa Azul;Vara 1;Banco Vantis;18
BC;Porto Nobre;Vara 5;Banco Aurora;8
SA;Porto Nobre;Vara 2;Crediluz;18
TB;Monte Claro do Vale;Vara 1;Banco Vantis;8
CV;Porto Nobre;Vara 2;Banco Cordilheira;13
TB;Porto Nobre;Vara 2;Banco Meridiano;12
MR;Porto Nobre;Vara 3;Banco Meridiano;75
CV;Porto Nobre;Vara 6;Banco Meridiano;18
SA;Porto Nobre;Vara 1;Banco Solaris;7
VN;Barra Limpa;Vara 5;Banco Aurora;6
SA;Barra Limpa;Vara 6;Banco Aurora;15
SA;Porto Nobre;Vara 4;Banco Aurora;15
PN;Monte Claro do Vale;Vara 4;Banco Meridiano;16
SA;Lagoa Azul;Vara 5;Banco Meridiano;15
IL;Porto Nobre;Vara 4;Banco Meridiano;21
SD;Pedra Fria;Vara 2;Crediluz;30
LS;Pedra Fria;Vara 5;Banco Aurora;14
SA;Porto Nobre;Vara 3;Banco Aurora;11
SA;Porto Nobre;Vara 3;Crediluz;25
SA;Porto Nobre;Vara 3;Banco Aurora;8
SA;Barra Limpa;Vara 6;Banco Aurora;11
CV;Santa Elis;Vara 5;Banco Vantis;14
LS;Alto Rubro;Vara 5;Banco Solaris;177
CV;Porto Nobre;Vara 1;Banco Solaris;18
VN;Serra Nova;Vara 1;Banco Aurora;13
LS;Porto Nobre;Vara 3;Banco Aurora;9
SD;Monte Claro do Vale;Vara 2;Crediluz;15
MR;Alto Rubro;Vara 1;Banco Vantis;95
SA;Porto Nobre;Vara 6;Banco Aurora;10
TB;Porto Nobre;Vara 2;Crediluz;19
SA;Porto Nobre;Vara 2;Banco Meridiano;15
LS;Porto Nobre;Vara 5;Banco Aurora;11
BC;Cruzeiro Novo;Vara 5;Crediluz;18
LS;Lagoa Azul;Vara 4;Banco Aurora;230
SA;Alto Rubro;Vara 5;Banco Aurora;46
CV;Porto Nobre;Vara 2;Banco Aurora;20
CV;Cruzeiro Novo;Vara 6;Crediluz;18
BC;Alto Rubro;Vara 4;Norvel Crédito;9
PN;Barra Limpa;Vara 6;Banco Vantis;10
CV;Porto Nobre;Vara 5;Banco Solaris;26
VN;Serra Nova;Vara 4;Norvel Crédito;8
SA;Porto Nobre;Vara 1;Banco Aurora;9
SA;Cruzeiro Novo;Vara 4;Crediluz;18
BC;Porto Nobre;Vara 6;Crediluz;12
SA;Santa Elis;Vara 6;Banco Aurora;16
MR;Porto Nobre;Vara 4;Banco Aurora;33
MR;Santa Elis;Vara 4;Banco Meridiano;164
MR;Porto Nobre;Vara 3;Banco Vantis;40
PN;Pedra Fria;Vara 4;Banco Cordilheira;17
TB;Barra Limpa;Vara 1;Banco Solaris;11
SA;Porto Nobre;Vara 5;Banco Aurora;128
PN;Porto Nobre;Vara 6;Banco Aurora;8
SD;Vila Aurora;Vara 3;Banco Meridiano;10
SA;Porto Nobre;Vara 1;Banco Aurora;11
LS;Porto Nobre;Vara 1;Crediluz;17
TB;Porto Nobre;Vara 1;Banco Aurora;10
TB;Porto Nobre;Vara 6;Banco Vantis;7
TB;Barra Limpa;Vara 6;Banco Meridiano;14
MR;Monte Claro do Vale;Vara 3;Norvel Crédito;41
CV;Porto Nobre;Vara 5;Banco Solaris;8
SA;Alto Rubro;Vara 2;Banco Vantis;27
VN;Porto Nobre;Vara 1;Banco Solaris;12
SA;Porto Nobre;Vara 1;Banco Solaris;8
TB;Lagoa Azul;Vara 1;Crediluz;17
SA;Porto Nobre;Vara 4;Crediluz;28
PN;Porto Nobre;Vara 1;Banco Vantis;26
TB;Porto Nobre;Vara 1;Banco Solaris;9
LS;Alto Rubro;Vara 6;Banco Cordilheira;10
